well-formed targets in the exhaustive domain: 234
combinations in the full domain (clients x targets x probe outcomes x caller Worlds x start paths x redelivery): 33696
SEQUENTIAL server: profile | client | probe | start path | stamp/final (caller World 8, no redelivery) | verdict
stable | proposed(floor3) | answered | fresh | stamp=3 | #1044 finals=[3] ok | fixed finals=[3] ok
stable | proposed(floor3) | answered | run_created-late | stamp=3 | #1044 finals=[3] ok | fixed finals=[3] ok
stable | proposed(floor3) | answered | resilient | stamp=3 | #1044 finals=[3] ok | fixed finals=[3] ok
stable | proposed(floor3) | timeout | fresh | stamp=3 | #1044 finals=[3] ok | fixed finals=[3] ok
stable | proposed(floor3) | timeout | run_created-late | stamp=3 | #1044 finals=[3] ok | fixed finals=[3] ok
stable | proposed(floor3) | timeout | resilient | stamp=3 | #1044 finals=[3] ok | fixed finals=[3] ok
stable | proposed(floor3) | no-channel | fresh | stamp=3 | #1044 finals=[3] ok | fixed finals=[3] ok
stable | proposed(floor3) | no-channel | run_created-late | stamp=3 | #1044 finals=[3] ok | fixed finals=[3] ok
stable | proposed(floor3) | no-channel | resilient | stamp=3 | #1044 finals=[3] ok | fixed finals=[3] ok
stable | stableCaller | answered | fresh | stamp=3 | #1044 finals=[3] ok | fixed finals=[3] ok
stable | stableCaller | answered | run_created-late | stamp=3 | #1044 finals=[3] ok | fixed finals=[3] ok
stable | stableCaller | answered | resilient | stamp=3 | #1044 finals=[3] ok | fixed finals=[3] ok
stable | stableCaller | timeout | fresh | stamp=3 | #1044 finals=[3] ok | fixed finals=[3] ok
stable | stableCaller | timeout | run_created-late | stamp=3 | #1044 finals=[3] ok | fixed finals=[3] ok
stable | stableCaller | timeout | resilient | stamp=3 | #1044 finals=[3] ok | fixed finals=[3] ok
stable | stableCaller | no-channel | fresh | stamp=3 | #1044 finals=[3] ok | fixed finals=[3] ok
stable | stableCaller | no-channel | run_created-late | stamp=3 | #1044 finals=[3] ok | fixed finals=[3] ok
stable | stableCaller | no-channel | resilient | stamp=3 | #1044 finals=[3] ok | fixed finals=[3] ok
stable | cli(run spec 3) | answered | fresh | stamp=3 | #1044 finals=[3] ok | fixed finals=[3] ok
stable | cli(run spec 3) | answered | run_created-late | stamp=3 | #1044 finals=[3] ok | fixed finals=[3] ok
stable | cli(run spec 3) | answered | resilient | stamp=3 | #1044 finals=[3] ok | fixed finals=[3] ok
stable | cli(run spec 3) | timeout | fresh | stamp=3 | #1044 finals=[3] ok | fixed finals=[3] ok
stable | cli(run spec 3) | timeout | run_created-late | stamp=3 | #1044 finals=[3] ok | fixed finals=[3] ok
stable | cli(run spec 3) | timeout | resilient | stamp=3 | #1044 finals=[3] ok | fixed finals=[3] ok
stable | cli(run spec 3) | no-channel | fresh | stamp=3 | #1044 finals=[3] ok | fixed finals=[3] ok
stable | cli(run spec 3) | no-channel | run_created-late | stamp=3 | #1044 finals=[3] ok | fixed finals=[3] ok
stable | cli(run spec 3) | no-channel | resilient | stamp=3 | #1044 finals=[3] ok | fixed finals=[3] ok
v5head | current(#4327) | answered | fresh | stamp=7 | #1044 finals=[7] ok | fixed finals=[7] ok
v5head | current(#4327) | answered | run_created-late | stamp=7 | #1044 finals=[7] ok | fixed finals=[7] ok
v5head | current(#4327) | answered | resilient | stamp=7 | #1044 finals=[7] ok | fixed finals=[7] ok
v5head | current(#4327) | timeout | fresh | stamp=6 | #1044 finals=[6] ok | fixed finals=[6] ok
v5head | current(#4327) | timeout | run_created-late | stamp=6 | #1044 finals=[6] ok | fixed finals=[6] ok
v5head | current(#4327) | timeout | resilient | stamp=6 | #1044 finals=[6] ok | fixed finals=[6] ok
v5head | current(#4327) | no-channel | fresh | stamp=6 | #1044 finals=[6] ok | fixed finals=[6] ok
v5head | current(#4327) | no-channel | run_created-late | stamp=6 | #1044 finals=[6] ok | fixed finals=[6] ok
v5head | current(#4327) | no-channel | resilient | stamp=6 | #1044 finals=[6] ok | fixed finals=[6] ok
v5head | proposed(floor3) | answered | fresh | stamp=7 | #1044 finals=[7] ok | fixed finals=[7] ok
v5head | proposed(floor3) | answered | run_created-late | stamp=7 | #1044 finals=[7] ok | fixed finals=[7] ok
v5head | proposed(floor3) | answered | resilient | stamp=7 | #1044 finals=[7] ok | fixed finals=[7] ok
v5head | proposed(floor3) | timeout | fresh | stamp=3 | #1044 finals=[3] BRICK | fixed finals=[3] BRICK
v5head | proposed(floor3) | timeout | run_created-late | stamp=3 | #1044 finals=[3] BRICK | fixed finals=[3] BRICK
v5head | proposed(floor3) | timeout | resilient | stamp=3 | #1044 finals=[3] BRICK | fixed finals=[3] BRICK
v5head | proposed(floor3) | no-channel | fresh | stamp=3 | #1044 finals=[3] BRICK | fixed finals=[3] BRICK
v5head | proposed(floor3) | no-channel | run_created-late | stamp=3 | #1044 finals=[3] BRICK | fixed finals=[3] BRICK
v5head | proposed(floor3) | no-channel | resilient | stamp=3 | #1044 finals=[3] BRICK | fixed finals=[3] BRICK
v5head | stableCaller | answered | fresh | stamp=3 | #1044 finals=[3] BRICK | fixed finals=[3] BRICK
v5head | stableCaller | answered | run_created-late | stamp=3 | #1044 finals=[3] BRICK | fixed finals=[3] BRICK
v5head | stableCaller | answered | resilient | stamp=3 | #1044 finals=[3] BRICK | fixed finals=[3] BRICK
v5head | stableCaller | timeout | fresh | stamp=3 | #1044 finals=[3] BRICK | fixed finals=[3] BRICK
v5head | stableCaller | timeout | run_created-late | stamp=3 | #1044 finals=[3] BRICK | fixed finals=[3] BRICK
v5head | stableCaller | timeout | resilient | stamp=3 | #1044 finals=[3] BRICK | fixed finals=[3] BRICK
v5head | stableCaller | no-channel | fresh | stamp=3 | #1044 finals=[3] BRICK | fixed finals=[3] BRICK
v5head | stableCaller | no-channel | run_created-late | stamp=3 | #1044 finals=[3] BRICK | fixed finals=[3] BRICK
v5head | stableCaller | no-channel | resilient | stamp=3 | #1044 finals=[3] BRICK | fixed finals=[3] BRICK
v5head | cli(run spec 3) | answered | fresh | stamp=7 | #1044 finals=[7] ok | fixed finals=[7] ok
v5head | cli(run spec 3) | answered | run_created-late | stamp=7 | #1044 finals=[7] ok | fixed finals=[7] ok
v5head | cli(run spec 3) | answered | resilient | stamp=7 | #1044 finals=[7] ok | fixed finals=[7] ok
v5head | cli(run spec 3) | timeout | fresh | stamp=3 | #1044 finals=[3] BRICK | fixed finals=[3] BRICK
v5head | cli(run spec 3) | timeout | run_created-late | stamp=3 | #1044 finals=[3] BRICK | fixed finals=[3] BRICK
v5head | cli(run spec 3) | timeout | resilient | stamp=3 | #1044 finals=[3] BRICK | fixed finals=[3] BRICK
v5head | cli(run spec 3) | no-channel | fresh | stamp=3 | #1044 finals=[3] BRICK | fixed finals=[3] BRICK
v5head | cli(run spec 3) | no-channel | run_created-late | stamp=3 | #1044 finals=[3] BRICK | fixed finals=[3] BRICK
v5head | cli(run spec 3) | no-channel | resilient | stamp=3 | #1044 finals=[3] BRICK | fixed finals=[3] BRICK
v5headKill | current(#4327) | answered | fresh | stamp=6 | #1044 finals=[6] ok | fixed finals=[6] ok
v5headKill | current(#4327) | answered | run_created-late | stamp=6 | #1044 finals=[6] ok | fixed finals=[6] ok
v5headKill | current(#4327) | answered | resilient | stamp=6 | #1044 finals=[6] ok | fixed finals=[6] ok
v5headKill | current(#4327) | timeout | fresh | stamp=6 | #1044 finals=[6] ok | fixed finals=[6] ok
v5headKill | current(#4327) | timeout | run_created-late | stamp=6 | #1044 finals=[6] ok | fixed finals=[6] ok
v5headKill | current(#4327) | timeout | resilient | stamp=6 | #1044 finals=[6] ok | fixed finals=[6] ok
v5headKill | current(#4327) | no-channel | fresh | stamp=6 | #1044 finals=[6] ok | fixed finals=[6] ok
